"","low","est","high","ID","type","metric"
"t[velocity] (hours)210",4.8313262100868,6.3804378367125,8.42625507322576,"BW045nex2015Snow","OUF anisotropic","t[velocity] (hours)210"
"speed (kilometers/day)283",19.7905112920319,21.1686241481857,22.5455391262203,"BW045nex2015Snow","OUF anisotropic","speed (kilometers/day)283"
"area (square kilometers)311",5044.28832836645,8968.78755217359,14003.9792149164,"BW045nex2016SnowFree","OUF anisotropic","area (square kilometers)311"
"t[position] (days)261",4.90737061965547,10.544664025777,22.6577424112146,"BW045nex2016SnowFree","OUF anisotropic","t[position] (days)261"
"t[velocity] (hours)211",3.94436026198984,5.41506067040469,7.43412876017846,"BW045nex2016SnowFree","OUF anisotropic","t[velocity] (hours)211"
"speed (kilometers/day)284",18.5781738971534,20.185447946876,21.7910386020938,"BW045nex2016SnowFree","OUF anisotropic","speed (kilometers/day)284"
"area (square kilometers)312",1889.2025728935,2795.23715339765,3875.94135553644,"BW045nex2016Snow","OUF anisotropic","area (square kilometers)312"
"t[position] (days)262",2.70646413474307,4.53798109762358,7.60892124082919,"BW045nex2016Snow","OUF anisotropic","t[position] (days)262"
"t[velocity] (hours)212",1.34165968427878,2.74403260751556,5.61223910902283,"BW045nex2016Snow","OUF anisotropic","t[velocity] (hours)212"
"speed (kilometers/day)285",19.7601920333905,24.3346287580392,28.900125514359,"BW045nex2016Snow","OUF anisotropic","speed (kilometers/day)285"
"area (square kilometers)313",1902.97409117539,2494.63586148669,3165.16174384065,"BW046nex2015SnowFree","OUF anisotropic","area (square kilometers)313"
"t[position] (days)263",1.94887316417393,2.73526773043281,3.83898228714044,"BW046nex2015SnowFree","OUF anisotropic","t[position] (days)263"
"t[velocity] (hours)213",1.35557861499406,1.89725021068666,2.65536673575094,"BW046nex2015SnowFree","OUF anisotropic","t[velocity] (hours)213"
"speed (kilometers/day)286",31.4324309479594,35.2706249239065,39.1035415129036,"BW046nex2015SnowFree","OUF anisotropic","speed (kilometers/day)286"
"area (square kilometers)314",2171.35384931487,6673.0455871223,13656.6152875659,"BW046nex2015Snow","OUF anisotropic","area (square kilometers)314"
"t[position] (days)264",0.619542362686852,7.88931946656522,100.463447528583,"BW046nex2015Snow","OUF anisotropic","t[position] (days)264"
