"","ID","name","Esttype","SA","type","est","ExtraTerr","EVIMean","LFD"
"16","1400072013Snow","1400072013Snow 95% est","est","SK","OUF anisotropic",1903.00642996041,0,923.622312101134,0.000611575917111452
"17","1400072014Snow","1400072014Snow 95% est","est","SK","OUF anisotropic",6280.0728874895,0,1204.53949383241,0.00567614108955102
"18","1400072014SnowFree","1400072014SnowFree 95% est","est","SK","OUF anisotropic",5558.39423502627,0,1396.6420438767,0.000669165856686947
"19","1400072015SnowFree","1400072015SnowFree 95% est","est","SK","OUF anisotropic",1721.52723131037,0,973.12617433702,0
"20","1400082013Snow","1400082013Snow 95% est","est","SK","OUF anisotropic",2832.4597850979,0,943.821088911825,0.00970587128893867
"21","1400082014Snow","1400082014Snow 95% est","est","SK","OUF anisotropic",2407.70011201483,0,1041.21020453535,0.00123668910400211
"22","1400082014SnowFree","1400082014SnowFree 95% est","est","SK","OUF anisotropic",8052.1305271962,0,943.843738604041,0.00915838410649792
"23","1400082015SnowFree","1400082015SnowFree 95% est","est","SK","OUF anisotropic",2184.42254175041,0,884.348906124241,0
"24","1400092013Snow","1400092013Snow 95% est","est","SK","OUF anisotropic",477.834383556517,0,1310.57859471926,0.00916171438373139
"25","1400092014Snow","1400092014Snow 95% est","est","SK","OUF anisotropic",21654.789738663,1,1293.72441135863,0.0207788447165556
"26","1400092014SnowFree","1400092014SnowFree 95% est","est","SK","OUF anisotropic",380.727807586938,0,1512.48811277926,0.0107461677642467
"27","1400092015Snow","1400092015Snow 95% est","est","SK","OUF anisotropic",16502.0832655518,1,1260.57660330224,0.0064422250011586
"28","1400092015SnowFree","1400092015SnowFree 95% est","est","SK","OUF anisotropic",273723.732403368,1,794.294508602404,0
"29","1400092016SnowFree","1400092016SnowFree 95% est","est","SK","OUF isotropic",439.578857824042,0,1880.95648878697,0.00108858293210391
"30","1400102013Snow","1400102013Snow 95% est","est","SK","OUF anisotropic",2202.11631730474,0,914.856728013275,0
"31","1400102014Snow","1400102014Snow 95% est","est","SK","OUF anisotropic",2079.07307807548,0,1013.08020278932,0.00711928836080296
"32","1400102014SnowFree","1400102014SnowFree 95% est","est","SK","OUF anisotropic",2752.68613135477,0,1009.47180627047,0.00715864310522552
"33","1400102015SnowFree","1400102015SnowFree 95% est","est","SK","OUF anisotropic",727.749995289392,0,733.732621440536,0.00710348902620834
"34","1400112013Snow","1400112013Snow 95% est","est","SK","OUF anisotropic",475.988258266678,0,901.291168241353,0.00778692976114149
"35","1400122013Snow","1400122013Snow 95% est","est","SK","OUF anisotropic",313.536079168827,0,1101.40792427417,0.00446638003364503
"36","1400142014Snow","1400142014Snow 95% est","est","SK","OUF anisotropic",2431.68882752567,0,1201.51839574381,0.00636280542670609
"37","1400152013Snow","1400152013Snow 95% est","est","SK","OUF anisotropic",2421.82443351066,0,849.278797309048,0.00536920766510021
"38","1400152014Snow","1400152014Snow 95% est","est","SK","OUF anisotropic",15894.2218110511,0,1341.06151362334,0.00447137756375131
"39","1400152014SnowFree","1400152014SnowFree 95% est","est","SK","OUF anisotropic",2113.38702387575,0,1212.94486401953,0.00720427235964963
"40","1400152015Snow","1400152015Snow 95% est","est","SK","OUF anisotropic",50154.4879443023,0,1133.25238712065,0.00570512998321153
"41","1400152015SnowFree","1400152015SnowFree 95% est","est","SK","OUF anisotropic",9180.28787445292,0,906.760389087142,0
"42","1400162013Snow","1400162013Snow 95% est","est","SK","OUF anisotropic",1841.78306297713,0,931.99018982593,0
"43","1400162014SnowFree","1400162014SnowFree 95% est","est","SK","OUF anisotropic",1040.52861759699,0,1014.62853676672,0
"44","1400172013Snow","1400172013Snow 95% est","est","SK","OUF anisotropic",1765.5646685862,0,713.677084961192,0
"45","1400172014Snow","1400172014Snow 95% est","est","SK","OUF anisotropic",1516.07088817111,0,764.489002811311,0
"46","1400172014SnowFree","1400172014SnowFree 95% est","est","SK","OUF anisotropic",1481.35153891779,0,855.072721786361,0
"47","1400182013Snow","1400182013Snow 95% est","est","SK","OUF anisotropic",2884.31778777805,0,944.301412439769,0.0089447758631315
"48","1400182014Snow","1400182014Snow 95% est","est","SK","OUF anisotropic",31449.4878154377,1,811.66354076748,0.00166711698033319
"49","1400182014SnowFree","1400182014SnowFree 95% est","est","SK","OUF anisotropic",38527.836391417,1,792.237442199278,0
"50","1400182015SnowFree","1400182015SnowFree 95% est","est","SK","OUF anisotropic",11459.6405538604,1,837.640037664783,0.00178173820711919
